nom_com,nom_com_m,insee_com,statut,population,insee_arr,insee_dep,insee_reg,code_epci,X_COORD,Y_COORD,latitude,longitude
Benest,BENEST,16038,Commune simple,315,3,16,75,200072049,503071.281324,6551963.03295,46.036769,0.448498
Charols,CHAROLS,26078,Commune simple,918,2,26,84,200040459,855133.4177399998,6389774.03127,44.59042,4.953893
Sillars,SILLARS,86262,Commune simple,611,2,86,75,200070043,529996.896976,6593620.54397,46.421076,0.769594
Cabriès,CABRIES,13019,Commune simple,9751,1,13,93,200054807,890244.0208769998,6264014.16762,43.647998,6.873943
Foucaucourt-Hors-Nesle,FOUCAUCOURT-HORS-NESLE,80336,Commune simple,80,2,80,32,200071181,607842.786624,6980722.07989,49.916274,1.721326
Bosjean,BOSJEAN,71044,Commune simple,308,4,71,27,200042414,879156.078681,6632578.44289,46.766625,5.307989
Chastel-Arnaud,CHASTEL-ARNAUD,26080,Commune simple,40,1,26,84,200040509,875170.023528,6398046.82817,44.649566,5.216872
Ruaudin,RUAUDIN,72260,Commune simple,3418,3,72,52,247200132,495907.573032,6763871.98098,47.951407,0.268017
Saubrigues,SAUBRIGUES,40292,Commune simple,1415,1,40,75,244000865,351180.542771,6288312.38807,43.61076,-1.315354
La Bégude-de-Mazenc,LA BEGUDE-DE-MAZENC,26045,Commune simple,1656,2,26,84,242600492,853352.4361019998,6385614.96823,44.551059,4.938845
Bonlieu-sur-Roubion,BONLIEU-SUR-ROUBION,26052,Commune simple,469,2,26,84,200040459,848260.7987019998,6389390.79417,44.59492,4.8838
Dracy-Saint-Loup,DRACY-SAINT-LOUP,71184,Commune simple,570,1,71,27,200070530,801790.8042399999,6658055.2249,47.020825,4.353875
Tosse,TOSSE,40317,Commune simple,2927,1,40,75,244000865,352025.428575,6298290.92285,43.69186,-1.307015
Monceau-le-Waast,MONCEAU-LE-WAAST,02493,Commune simple,220,2,02,32,240200469,751853.2702499998,6947225.47402,49.620368,3.714388
Pressac,PRESSAC,86200,Commune simple,576,2,86,75,200070043,512111.668651,6560509.8474,46.116349,0.57016
Saint-Michel-de-Montjoie,SAINT-MICHEL-DE-MONTJOIE,50525,Commune simple,314,1,50,28,200069425,404175.702224,6859141.35057,48.770715,-1.035234
Auxy,AUXY,45018,Commune simple,987,3,45,24,200071850,661806.659091,6778907.96311,50.227854,2.10639
Écommoy,ECOMMOY,72124,Commune simple,4677,3,72,52,247200447,496910.197239,6750709.43232,47.826839,0.275146
Plumaugat,PLUMAUGAT,22240,Commune simple,1084,1,22,53,200068989,311975.16202,6806755.84373,48.254037,-2.236447
Boësses,BOESSES,45033,Commune simple,380,3,45,24,200071850,657886.636196,6783276.13437,48.149897,2.446809
Bromeilles,BROMEILLES,45056,Commune simple,329,3,45,24,200071850,662522.187166,6787049.89855,48.183132,2.485156
Mauléon-d'Armagnac,MAULEON-D'ARMAGNAC,32243,Commune simple,275,2,32,76,243200458,446713.073044,6316998.38837,43.916088,-0.190715
Desmonts,DESMONTS,45124,Commune simple,170,3,45,24,200071850,662784.847823,6792002.79883,48.226274,2.499456
Mareugheol,MAREUGHEOL,63209,Commune simple,198,3,63,84,200070407,712582.841053,6487165.29369,45.490923,3.15323
La Chambre,LA CHAMBRE,73067,Commune simple,1164,3,73,84,247300361,957767.179264,6479500.76394,45.355431,6.302236
