col_1,col_2,col_3,nom_commune,longitude,latitude
ozan,OZAN,ozan,Ozan,4.91667,46.3833
cormoranche-sur-saone,CORMORANCHE-SUR-SAONE,cormoranche sur saone,Cormoranche-sur-Saône,4.83333,46.2333
plagne-01,PLAGNE,plagne,Plagne,5.73333,46.1833
tossiat,TOSSIAT,tossiat,Tossiat,5.31667,46.1333
pouillat,POUILLAT,pouillat,Pouillat,5.43333,46.3333
torcieu,TORCIEU,torcieu,Torcieu,5.4,45.9167
replonges,REPLONGES,replonges,Replonges,4.88333,46.3
corcelles,CORCELLES,corcelles,Corcelles,5.58333,46.0333
peron,PERON,peron,Péron,5.93333,46.2
relevant,RELEVANT,relevant,Relevant,4.95,46.0833
chaveyriat,CHAVEYRIAT,chaveyriat,Chaveyriat,5.06667,46.1833
vaux-en-bugey,VAUX-EN-BUGEY,vaux en bugey,Vaux-en-Bugey,5.35,45.9167
maillat,MAILLAT,maillat,Maillat,5.55,46.1333
faramans-01,FARAMANS,faramans,Faramans,5.11667,45.9
beon-01,BEON,beon,Béon,5.75,45.8333
saint-bernard-01,SAINT-BERNARD,saint bernard,Saint-Bernard,4.73723,45.945
rossillon,ROSSILLON,rossillon,Rossillon,5.6,45.8333
pont-d-ain,PONT-D'AIN,pont d ain,Pont-d'Ain,5.33333,46.05
nantua,NANTUA,nantua,Nantua,5.61667,46.15
chavannes-sur-reyssouze,CHAVANNES-SUR-REYSSOUZE,chavannes sur reyssouze,Chavannes-sur-Reyssouze,5,46.4333
neuville-les-dames,NEUVILLE-LES-DAMES,neuville les dames,Neuville-les-Dames,5,46.1667
flaxieu,FLAXIEU,flaxieu,Flaxieu,5.73333,45.8167
hotonnes,HOTONNES,hotonnes,Hotonnes,5.68333,46
saint-sorlin-en-bugey,SAINT-SORLIN-EN-BUGEY,saint sorlin en bugey,Saint-Sorlin-en-Bugey,5.36667,45.8833
songieu,SONGIEU,songieu,Songieu,5.7,45.9667
virieu-le-petit,VIRIEU-LE-PETIT,virieu le petit,Virieu-le-Petit,5.71667,45.9
saint-denis-en-bugey,SAINT-DENIS-EN-BUGEY,saint denis en bugey,Saint-Denis-en-Bugey,5.33333,45.95
charnoz-sur-ain,CHARNOZ-SUR-AIN,charnoz sur ain,Charnoz-sur-Ain,5.21667,45.8667
chazey-sur-ain,CHAZEY-SUR-AIN,chazey sur ain,Chazey-sur-Ain,5.25,45.9
marchamp,MARCHAMP,marchamp,Marchamp,5.55,45.7833
culoz,CULOZ,culoz,Culoz,5.78333,45.85
mantenay-montlin,MANTENAY-MONTLIN,mantenay montlin,Mantenay-Montlin,5.08333,46.4167
marboz,MARBOZ,marboz,Marboz,5.25,46.3333
foissiat,FOISSIAT,foissiat,Foissiat,5.18333,46.3667
treffort-cuisiat,TREFFORT-CUISIAT,treffort cuisiat,Treffort-Cuisiat,5.36834,46.2714
izieu,IZIEU,izieu,Izieu,5.63333,45.65
saint-etienne-du-bois-01,SAINT-ETIENNE-DU-BOIS,saint etienne du bois,Saint-Étienne-du-Bois,5.28333,46.2833
hauteville-lompnes,HAUTEVILLE-LOMPNES,hauteville lompnes,Hauteville-Lompnes,5.6,45.9667
saint-trivier-sur-moignans,SAINT-TRIVIER-SUR-MOIGNANS,saint trivier sur moignans,Saint-Trivier-sur-Moignans,4.9,46.0667
peyriat,PEYRIAT,peyriat,Peyriat,5.51667,46.15
evosges,EVOSGES,evosges,Évosges,5.5,45.9583
poncin,PONCIN,poncin,Poncin,5.4,46.0833
crans-01,CRANS,crans,Crans,5.21667,45.9667
montreal-la-cluse,MONTREAL-LA-CLUSE,montreal la cluse,Montréal-la-Cluse,5.57084,46.1867
cleyzieu,CLEYZIEU,cleyzieu,Cleyzieu,5.43333,45.9
lompnieu,LOMPNIEU,lompnieu,Lompnieu,5.65,45.9667
villereversure,VILLEREVERSURE,villereversure,Villereversure,5.38333,46.1833
saint-martin-du-mont-01,SAINT-MARTIN-DU-MONT,saint martin du mont,Saint-Martin-du-Mont,5.33333,46.1
saint-genis-pouilly,SAINT-GENIS-POUILLY,saint genis pouilly,Saint-Genis-Pouilly,6.01667,46.25
bolozon,BOLOZON,bolozon,Bolozon,5.48333,46.2
confrancon,CONFRANCON,confrancon,Confrançon,5.06667,46.2667
lochieu,LOCHIEU,lochieu,Lochieu,5.71667,45.9333
chanoz-chatenay,CHANOZ-CHATENAY,chanoz chatenay,Chanoz-Châtenay,5.03333,46.1833
villebois,VILLEBOIS,villebois,Villebois,5.43333,45.85
ceignes,CEIGNES,ceignes,Ceignes,5.5,46.1167
saint-didier-sur-chalaronne,SAINT-DIDIER-SUR-CHALARONNE,saint didier sur chalaronne,Saint-Didier-sur-Chalaronne,4.81667,46.1667
revonnas,REVONNAS,revonnas,Revonnas,5.33333,46.1667
bourg-saint-christophe,BOURG-SAINT-CHRISTOPHE,bourg saint christophe,Bourg-Saint-Christophe,5.16667,45.8833
condeissiat,CONDEISSIAT,condeissiat,Condeissiat,5.08333,46.1667
pirajoux,PIRAJOUX,pirajoux,Pirajoux,5.3,46.3833
chalamont,CHALAMONT,chalamont,Chalamont,5.16667,46
plantay,LE PLANTAY,le plantay,Le Plantay,5.08333,46.0167
versailleux,VERSAILLEUX,versailleux,Versailleux,5.1,45.9833
montagnat,MONTAGNAT,montagnat,Montagnat,5.28333,46.1667
vieu,VIEU,vieu,Vieu,5.68333,45.9
saint-andre-de-corcy,SAINT-ANDRE-DE-CORCY,saint andre de corcy,Saint-André-de-Corcy,4.95,45.9167
bressolles-01,BRESSOLLES,bressolles,Bressolles,5.1,45.8667
peronnas,PERONNAS,peronnas,Péronnas,5.2,46.1833
colomieu,COLOMIEU,colomieu,Colomieu,5.61667,45.7333
monthieux,MONTHIEUX,monthieux,Monthieux,4.93333,45.95
saint-jean-sur-reyssouze,SAINT-JEAN-SUR-REYSSOUZE,saint jean sur reyssouze,Saint-Jean-sur-Reyssouze,5.06667,46.4
