Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Accrobranche : parcours Aventure,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.197925,5.941358,Montée de la Citadelle Sisteron Aventures,04200#Sisteron,"En conformité avec le décret n° 2021-1059 du 7 août 2021, le Pass sanitaire est obligatoire pour l'accès à notre parc. Il est vivement recommandé de réserver vos parcours.

Pour la sécurité de tous, nous vous remercions de suivre les mesures mises en place dans le respect des gestes barrières :
- distanciation physique: 1,50m entre 2 personnes
- se laver les mains avec du savon ou du gel hydroalcoolique
- tousser ou éternuer dans son coude
- éviter de se toucher le visage
- gants obligatoires
- 1 personne par plateforme
- 1 personne par jeu
- port du masque obligatoire",True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-09,#+33 4 92 54 55 84#info@sisteron-aventures.com#http://www.sisteron-aventures.com/,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,"Le parcours AVENTURE est le dernier parcours d'accrobranche ""adapté aux familles"", car les choses deviennent ici plus dures. Ce parcours accrobranche enfant est à partir de 8/9 ans et comprend également tous les autres parcours de difficultés inférieures.",https://data.datatourisme.gouv.fr/13/33a73a6c-3e82-3cc8-9e78-18cc97e05405
Accrobranche : parcours Découverte,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.197925,5.941358,Montée de la Citadelle Sisteron Aventures,04200#Sisteron,,True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-09,#+33 4 92 54 55 84#info@sisteron-aventures.com#http://www.sisteron-aventures.com/,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,Le parcours DÉCOUVERTE permettra à votre enfant de prendre son envol puisqu'il sera suspendu à 5/6m du sol. Ce parcours accrobranche enfant est à partir de 6/7ans et comprend également tous les autres parcours de difficultés inférieures,https://data.datatourisme.gouv.fr/13/4530fd0e-0a0f-3c1b-8f5e-7474b41b6cbb
Accrobranche : parcours Sensation,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.197925,5.941358,Montée de la Citadelle Sisteron Aventures,04200#Sisteron,,True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-09,#+33 4 92 54 55 84#info@sisteron-aventures.com#http://www.sisteron-aventures.com/,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,Le parcours accrobranche enfant SENSATION vous propulse dans une autre dimension puisque vous serez à 12/16m du sol (soit l'équivalent de 4 étages d'immeubles). Sensations garanties !,https://data.datatourisme.gouv.fr/13/754932dd-9c75-36dc-9d6b-733a0e6759bb
Accrobranche : parcours Super Kid,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.197925,5.941358,Montée de la Citadelle Sisteron Aventures,04200#Sisteron,,True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-09,#+33 4 92 54 55 84#info@sisteron-aventures.com#http://www.sisteron-aventures.com/,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,"Le parcours SUPER KID est un parcours accrobranche enfant adapté aux familles, car vous pourrez suivre votre enfant au sol ou vous pourrez monter avec lui sur le parcours.",https://data.datatourisme.gouv.fr/13/85dc62ac-c25c-33a3-a3d9-d9506e8994ad
Accrobranche : parcours KID,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.197925,5.941358,Montée de la Citadelle Sisteron Aventures,04200#Sisteron,,True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-09,#+33 4 92 54 55 84#info@sisteron-aventures.com#http://www.sisteron-aventures.com/,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,Le parcours KID s'adresse aux enfants âgés a minima de 3/4 ans et se caractérise comme une initiation à l'accrobranche. C'est un parcours 1ère découverte.,https://data.datatourisme.gouv.fr/13/21748b2b-5d43-372d-b337-d48de87b7166
Sisteron Aventures,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.197925,5.941358,Montée de la Citadelle Sisteron Aventures,04200#Sisteron,,True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-09,#+33 4 92 54 55 84#info@sisteron-aventures.com#http://www.sisteron-aventures.com/,,"Envie de vous amuser tout en jouant avec vos sensations ? Venez découvrir les différents parcours de Sisteron Aventures ! De 3 à 99 ans. Le parc aventure se situe au pied de la Citadelle, en plein centre-ville, dans une belle forêt de pins.",https://data.datatourisme.gouv.fr/13/7f39dff7-105c-3c83-9d1f-b3f714835b50
VTT & VTT à Assistance Électrique - La Tribu Rando de Seb,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,45.018186,6.632903999999999,Roubion Renaud Sébastien,05320#La Grave,Mesures mises en place pour vous protéger : nettoyant à disposition - charlotte pour les casques - distanciation durant l'activité -  materiel nettoyé devant vous au départ.,True,True,Office de tourisme des Hautes Vallées - La Grave - La Clarée - L'Izoard,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-09-06,#+33 4 92 21 34 63#info@latriburando.com#,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,"Sébastien vous fait découvrir la nature sous toute ses formes et vous accompagne jusqu’au bout, dans vos projets de vacances actives.
Découvrez la montagne en VTT avec un moniteur diplômé au BE VTT.
Transport en minibus possible.",https://data.datatourisme.gouv.fr/13/c55de8b1-740d-3fd6-a936-364d3f6d1d57
Randonnée pédestre - La Tribu Rando de Seb,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,45.018186,6.632903999999999,Roubion Renaud Sébastien,05320#La Grave,Mesures mises en place pour vous protéger : nettoyant à disposition - distanciation durant l'activité - matériel nettoyé devant vous au départ.,True,True,Office de tourisme des Hautes Vallées - La Grave - La Clarée - L'Izoard,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-09-06,#+33 4 92 21 34 63#info@latriburando.com#,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,"Sébastien vous fait découvrir la nature sous toute ses formes ! BE. AEM.
Des randonnées à la découverte des trésors de la Vallée de la Clarée et de l'izoard. Sébastien vous accompagne jusqu’au bout, dans vos projets de vacances avec transports possible !",https://data.datatourisme.gouv.fr/13/6b39937d-29ce-38e9-ab0e-8dc9e49933e2
VTT & VTT à Assistance Électrique - La Tribu Rando de Seb,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,45.018186,6.632903999999999,Renaud Sébastien,05100#Cervières,MESURES MISES EN PLACE POUR VOUS PROTEGER : NETTOYANT A DISPOSITION - CHARLOTTE POUR LES CASQUES - DISTANCIATION DURANT L ACTIVITE - MATERIEL NETTOYE DEVANT VOUS AVANT DEPART,True,True,Office de tourisme des Hautes Vallées - La Grave - La Clarée - L'Izoard,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-04-14,#+33 4 92 21 34 63#info@latriburando.com#,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,"Sébastien vous fait découvrir la nature sous toute ses formes et vous accompagne jusqu’au bout, dans vos projets de vacances actives.
Découvrez la montagne en VTT avec un moniteur diplômé au BE VTT.
Transport en minibus possible.",https://data.datatourisme.gouv.fr/13/7c055d1e-3c9b-35de-a470-326046ebf267
Randonnée pédestre - La Tribu Rando de Seb,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,45.018186,6.632903999999999,Renaud Sébastien,05100#Cervières,"Mesures mises en place pour vous protéger : 
- du nettoyant à disposition
- des charlottes pour les casques seront disponibles
- la distanciation durant l'activité sera maintenue 
- le matériel sera nettoyé devant vous avant le départ",True,True,Office de tourisme des Hautes Vallées - La Grave - La Clarée - L'Izoard,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-04-02,#+33 4 92 21 34 63#info@latriburando.com#,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,"Sébastien vous fait découvrir la nature sous toute ses formes ! BE. AEM.
Des randonnées à la découverte des trésors de l'Izoard. Sébastien vous accompagne jusqu’au bout, dans vos projets de vacances avec transports possible !",https://data.datatourisme.gouv.fr/13/a59efa6a-10f8-339a-be40-396c82d2bac0
