Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Naturallye,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#RacingCircuit|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList|http://schema.org/LocalBusiness,43.32841,6.596033,1 rue des métiers - Les Bordes Parc d'activités Camp Ferrat,83120#Sainte-Maxime,,True,True,Office de tourisme de Sainte Maxime,Office de tourisme de Sainte Maxime - source : Apidae Tourisme,2021-06-23,#+33 6 52 87 09 70<>+33 4 94 81 61 46#contact@naturallye.com#https://www.naturallye.com/,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,Naturallye : L’expérience randonnée & rallye responsable,https://data.datatourisme.gouv.fr/13/0b84fa29-c830-3105-9c7c-7a0e72d6a3b3
Parcours urbain à Saint-Ruf - circuit culturel et patrimonial,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.939431,4.809872,Départ : avenue Saint-Ruf,84000#Avignon,,True,True,Office de Tourisme Avignon Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-04-21,##bienvivreasaintruf@gmail.com#https://bienvivreasaintruf954898291.wordpress.com/,,Une balade urbaine dans un environnement qui a beaucoup évolué au fil des siècles. Un patrimoine qui a traversé tous les grands courants de l’histoire de l’architecture du XIe siècle – l’abbaye Saint-Ruf – à aujourd’hui – le collège A. Mathieu (2015).,https://data.datatourisme.gouv.fr/13/b01e811a-5705-3d87-b1d3-7177dac5719d
Grand Vallat - Littoral,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.331645,5.108037,16 Avenue Du Port,13960#Sausset-les-Pins,"1. Sur le port, près du manège, prenez à gauche la passerelle. Contournez le port.

2. Au bout du bord on remarque l'ancre de marine reconstituée du 1er siècle avant JC, témoignage de l'importante activité maritime le long de nos côtes à l'époque romaine.
Suivez la promenade du littoral.

3. On remarquera un blockhaus transformé en résidence secondaire. Un point d'eau potable près du figuier (côte parking) permettra de vous désaltérer (C'est le seul point d'eau du parcours).

4. A proximité de l'Anse du Four à Chaux, remarquez les vestiges du mur de défense construit par l'armée allemande en 1943, ainsi qu'en bord de mer le fond d'une ancienne carrière datant sans doute de l'époque romaine. 
Face au Restaurant ""La Calanque Bleue"", prendre à gauche l'ancienne route longeant le bord de mer.

5. Avant le pont de la roselière, franchissez la barrière de sécurité (soyez vigilant en traversant la route). Ce chemin, que l'on suivra sur 500 m, borde la roselière dont l'écosystème constitue un lieu unique sur la Côte Bleue de grande valeur patrimoniale. Cette partie du circuit, commune avec le sentier botanique, est agrémentée de panneaux d'interprétation.

6. Après environ 400m quittez la piste pour monter à droite, par un chemin assez raide et caillouteux, sur le plateau du Grand Vallat
Avant d'arriver sur le plateau, dans le dernier virage, sur la gauche, remarquer une petite géode de calcite.
Un peu plus loin, le magnifique bassin en pierre marque de départ du canal qui alimentait en eau le château Charles-Roux à partir d'une pompe installée dans l'étang en contrebas. 
Contournez le bassin et suivez les vestiges du canal.

7. Après environ 250m le chemin se divise en 2, prenez à droite et traversez la pinède pour se rapprocher des maisons.

8. Laissez l'aire de pique-nique sur votre gauche et cherchez entre les maisons le passage étroit qui permet de rejoindre l'avenue des Belges que l'on emprunte à gauche sur 100m, puis prendre à droite l'allée des arbousiers.

9. Prenez à droite du portail de la villa n6 un passage qui débouche sur un grand espace boisé, vestige de l'ancien parc du château. 
Longez cet espace jusqu'à déboucher sur une impasse conduisant au parc du château. Montez à gauche les escaliers permettant de rejoindre l'avenue du Frioul.

10. Au croisement avec l'avenue Jean Moulin, descendez le chemin à droite sur le terre-plein formé par le comblement de l'ancienne réserve d'eau du château. 
Traversez ce terre-plein jusqu'à l'ancien barrage d'où l'on peut admirer le château Charles-Roux
Descendez les escaliers à gauche pour rejoindre l'avenue Jean Moulin qui permet de revenir sur le Port.",True,True,Provence Tourisme (ADT13),Provence Tourisme (ADT13),2021-09-14,#+33 4 42 45 60 65##,,"Randonnée en bord de mer qui emprunte le sentier de la roselière et fait découvrir les vestiges de l'ancienne alimentation en eau du château Charles-Roux. A la découverte de l'ancien parc du château, du barrage et de la réserve maintenant comblée.",https://data.datatourisme.gouv.fr/58/50bf2607-10ab-3c09-8a57-96e839adc01b
Mer et Colline - Valestoué,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.331645,5.108037,16 Avenue Du Port,13960#Sausset-les-Pins,"1. Sur le port, près du manège, prenez à gauche la passerelle. Contournez le port.
Au bout du bord on remarque l'ancre de marine reconstituée du 1er siècle avant JC, témoignage de l'importante activité maritime le long de nos côtes à l'époque romaine.
Suivez la promenade du littoral.

2. On remarquera un blockhaus transformé en résidence secondaire. Un point d'eau potable près du figuier (côte parking) permettra de vous désaltérer (C'est le seul point d'eau du parcours).

3. A proximité de l'Anse du Four à Chaux, remarquez les vestiges du mur de défense construit par l'armée allemande en 1943, ainsi qu'en bord de mer le fond d'une ancienne carrière datant sans doute de l'époque romaine. 
Face au Restaurant ""La Calanque Bleue"", prendre à gauche l'ancienne route longeant le bord de mer.

4. Avant le pont de la roselière, franchissez la barrière de sécurité (soyez vigilant en traversant la route). Ce chemin, que l'on suivra sur 500 m, borde la roselière dont l'écosystème constitue un lieu unique sur la Côte Bleue de grande valeur patrimoniale. Cette partie du circuit, commune avec le sentier botanique, est agrémentée de panneaux d'interprétation

5. Après avoir franchi le gué et le pont du chemin de fer, continuez tout droit en direction du pont sous la voie rapide. On rejoint la route goudronnée que l'on suivra jusqu'à l'intersection avec la RD5.

6. Tournez à droite et longez le RD5 sur environ 200m

7. Ici, traversez la RD5 et prenez la piste en face. Suivez la sur 2km en laissant les pistes et chemins montant sur la colline à votre gauche.

8. Laissez cette piste pour prendre en face un sentier qui part dans le vallon de Valestéloué, avec en ligne de mire face à vous, une croix au somment de la colline. 
On rejoint rapidement un chemin que l'on prend à gauche.

9. A un embranchement prenez le chemin à gauche qui conduit aux ruines de Valetéloué qui fut autrefois un grand domaine agricole.

10. Prenez à droite un chemin raviné qui permet de rejoindre une piste que l'on prendra à droite afin de monter au sommet de la colline.

11. Après environ 2h15 de marche, on atteint le sommet. Magnifique panorama sur Carry et la baie de Marseille vous offre. 
Continuez sur la piste jusqu'à rejoindre la croix. Beau panorama sur Sausset et le Cap Couronne. 
Après la croix amorcez la descente par la piste, et rapidement, à la limite de la partie bétonnée, prenez un sentier à gauche. 
Suivez ce sentier qui permet de descendre dans le vallon pour franchir la voie rapide par un tunnel.

12. A la sortie du tunnel, prenez la piste à droite. Ensuite prenez la deuxième piste à gauche. La piste est alors jalonnée de poteaux en béton indiquant un gazoduc. 
Cette piste conduit à la route longeant la voie ferrée que l'on prendra sur la droite. 
Franchissez le pont sous la voie ferrée et prenez immédiatement à gauche le boulevard de la Paix. 
Après le virage, à 50m, prenez à droite le chemin des Bastides. 
Après le lotissement l'Eolienne, prenez en face la traverse Montesquieu. Obliquez à gauche pour rejoindre la rue Pasteur et l'avenue de la Côte Bleue. 
A droite de la boucherie prenez la traverse Bellon qui permet de rejoindre le bord de mer.
Longez la mer, contournez le port afin de rejoindre le point de départ.",True,True,Provence Tourisme (ADT13),Provence Tourisme (ADT13),2021-09-14,#+33 4 42 45 60 65##,,"Randonnée sur le bord de mer puis à travers la roselière et le sentier botanique, montée à travers la garrigue et le long des pinèdes vers le sommet de la colline",https://data.datatourisme.gouv.fr/58/a3182cc9-5ff4-3d0e-97ab-628101b8a612
Bouches-du-Rhône en Paysages - Sausset d'hier et d'aujourd'hui,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.331432,5.1078,16 Avenue Du Port,13960#Sausset-les-Pins,,True,True,Provence Tourisme (ADT13),Provence Tourisme (ADT13),2021-04-12,#+33 4 42 45 60 65#ot.sausset@gmail.com#,,"Le long du parcours découverte de la ville et des rues et ruelles, paysage connu pour pépites cachées. Parcours idéal pour les familles.",https://data.datatourisme.gouv.fr/58/09788f2c-cfe9-3301-9db2-f45e503e62cd
"Sentier ""Peau de Meau"" au coeur de la Réserve naturelle nationale des Coussouls de Crau",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.637122999999995,4.8058629999999996,"2, Place Léon Michaud Maison de la Crau - Ecomusée",13311#Saint-Martin-de-Crau,"Prévoir chaussures de marche, jumelles, eau

Une visite guidée d'une demi-journée est organisée une fois par mois sur inscription : contact Etienne Becker - 04 90 74 02 01 (Maison de la Crau",True,False,Agence régionale pour la biodiversité et l'environnement Provence-Alpes-Côte d'Azur (ARBE),Provence Tourisme / Agence régionale pour la biodiversité et l'environnement Provence-Alpes-Côte d'Azur (ARBE),2018-06-15,#+33 4 90 47 02 01#ecomusee.crau@cen-paca.org#http://www.cen-paca.org/index.php?rub=4&pag=4_ecomusee,,"Venez découvrir les richesses naturelles et les traditions de cette steppe méditerranéenne unique en France : sa géologie, sa faune rare et protégée, sa flore et son histoire intimement liée au pastoralisme multiséculaire.",https://data.datatourisme.gouv.fr/58/38e2487b-558a-3b8d-a8ef-6a257a7424b9
Belles Routes : De Martigues à Marseille par la Côte bleue,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,43.405434,5.047272,Rond-point de l'Hôtel de ville Office de Tourisme de Martigues,13500#Martigues,"1. Au départ de l'Office de tourisme de Martigues prenez la direction du centre ville, longez le chenal sur votre droite, puis tournez à droite en direction de Marseille, la Couronne. Franchissez le chenal puis poursuivez toujours dans la même direction en longeant cette fois-ci le chenal sur son autre rive. Arrivé au carrefour giratoire situé sous le viaduc routier, prenez à gauche la RD9 en direction de Sausset-les-Pins.

2. Au carrefour à feux tricolores, tournez à droite sur la RD5 en direction de Sausset-les-Pins.

3. Après 3km sur cette route, poursuivez sur la RD49, toujours dans cette même direction. Au carrefour avec la RD9 continuez tout droit sur la RD49 en direction de La Couronne.

4. Juste après avoir franchi le pont sur la voie ferrée à La Couronne, vous pouvez faire un détour par le port de Carro qui se situe à 2km par la RD49b mais pour poursuivre votre route, prenez la RD49, à gauche au carrefour giratoire, en direction de Sausset. Poursuivez sur la D49 en longeant la voie ferrée, puis traversez le Grand Vallat pour arriver au village de Sausset-les-Pins.

5. Traversez le village de Sausset en longeant le bord de mer puis tournez à droite au carrefour giratoire sur la RD5 en direction du centre ville et poursuivez après le port en direction de Carry.

6. Après avoir traversé Carry-le-Rouet, continuez sur la RD5 en direction de Marseille et Ensuès-la-Redonne. Au niveau du croisement avec la RD9d, restez sur la RD5 qui se poursuit sur votre droite toujours en direction d'Ensués-la-Redonne.

7. A Ensuès-La Redonne, vous pouvez faire un saut au Port de La Redonne par la RD48d sur votre droite dans le village d'Ensuès. Un conseil : garez vous à droite avant le viaduc et descendez à pied jusqu'au port qui vaut le détour ! Pour poursuivre cet itinéraire, faites demi-tour et rejoignez la RD5 en direction du Rove.

8. Au prochain croisement, vous aurez la possibilité de rejoindre Niolon, son port et ses sentiers qui serpentent les calanques. Pour cela, prenez la RD48 sur votre droite jusqu'au village de Niolon. Pour reprendre la route, retournez sur la RD5 par la RD48 et poursuivez en direction du Rove.

9. Prenez la RD568 sur votre droite en direction de Marseille, l'Estaque. Après avoir franchi le village puis le tunnel du Rove vous pouvez apercevoir la rade de Marseille et atteindre le quartier de l'Estaque.
Vous pourrez rejoindre l'Office de Tourisme de Marseille, dans le centre de la ville, grâce aux transports en commun (horaires et informations sur www.lepilote.com).",True,True,Provence Tourisme (ADT13),Provence Tourisme (ADT13),2021-09-13,#+33 4 42 42 31 10#info@martigues-tourisme.com#,,"Itinéraire d'une demi-journée en voiture entre Martigues et Marseille ""L'Estaque"" en traversant la Côte Bleue, les plages de Carro et La Couronne, les ports de Carry-le-Rouet, Sausset, ou un crochet par la calanque de Niolon.",https://data.datatourisme.gouv.fr/58/49430230-49dd-3b45-9386-91469643eefe
Parcours d'eau en centre-ville et ses alentours,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.405434,5.047272,Rond-point de l'Hôtel de ville Office de Tourisme de Martigues,13500#Martigues,,True,True,Office de Tourisme de Martigues,Provence Tourisme / Office de Tourisme de Martigues,2021-06-17,#+33 4 42 42 31 10#info@martigues-tourisme.com#,,"Martigues est une ville entourée d'eau qui fut sa principale richesse durant de 
nombreux siècles mais cette eau est salée. Cette ville composée de trois quartiers reliés par de nombreux ponts, ce qui lui permit d'être appelé La « Venise Provençale ».",https://data.datatourisme.gouv.fr/58/2a57645c-ea06-340b-b96c-d4c36bd0667a
Parcours d'eau en centre-ville,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.405434,5.047272,Rond-point de l'Hôtel de ville Office de Tourisme de Martigues,13500#Martigues,,True,True,Office de Tourisme de Martigues,Provence Tourisme / Office de Tourisme de Martigues,2021-06-17,#+33 4 42 42 31 10#info@martigues-tourisme.com#,,"Martigues est une ville entourée d'eau qui fut sa principale richesse durant de 
nombreux siècles mais cette eau est salée. Cette ville composée de trois quartiers reliés par de nombreux ponts, ce qui lui permit d'être appelé La « Venise Provençale ».",https://data.datatourisme.gouv.fr/58/309f7322-86f5-368b-8b40-649ae033d81b
GR2013 : Des Heures Claires à Miramas,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.500028,4.992472,Chemin du Port Port des Heures Claires,13800#Istres,"Entre le 1er juin et le 30 septembre l'accès aux massifs forestiers est réglementé par arrêté préfectoral et peut l'être par arrêté municipal, pour votre sécurité et la préservation des sites sensibles. Avant de suivre vos «envies de balade», appelez le 08 11 20 13 13",True,True,Provence Tourisme (ADT13),Provence Tourisme (ADT13),2021-06-04,#+33 4 42 81 76 00##,,"Depuis le Port des Heures Claires, suivez le GR2013 en longeant l'étang de Berre, puis l'étang de l'Olivier et la colline Saint-Etienne",https://data.datatourisme.gouv.fr/58/7f50aab8-a522-3099-8622-0ea7ea325e27
